Obs Country UMETHANE UCFC UCOMENGC UTRDENGC MAMTAREA BRDTAREA HPLTAREA FORECOV PASTCOV FORECOV PASTCOV ARMNDO ARMNDCL ARMNSEDI
1 Egypt 0.013 0.000058 0.0215 0.00086 0.0090 0.0160 0.0979 0.0003 0.0000 0.0000 0.0000 8.12 28.00 45.00
2 Kenya 0.026 0.000000 0.0032 0.01422 0.0293 0.0310 0.2586 0.0403 0.6569 -0.0032 0.0000 8.10 40.00 74.16
3 Tanzania 0.030 0.000000 0.0012 0.01347 0.0318 0.0275 0.1693 0.4332 0.3704 -0.0121 0.0000 7.73 13.17 576.33
4 Canada 0.155 0.000415 0.3313 0.00253 0.0005 0.0006 0.0702 0.3599 0.0282 0.0194 0.0003 10.67 10.92 84.00
5 Guatemala 0.012 0.000109 0.0054 0.01130 0.0917 0.0917 2.9908 0.3440 0.1284 -0.0606 0.0099 6.80 13.50 1312.80
6 Panama 0.031 0.000000 0.0225 0.00000 0.1688 0.1818 7.6364 0.4286 0.2026 -0.0874 0.0282 8.13 7.03 485.50
7 USA 0.148 0.000520 0.3234 0.00366 0.0029 0.0046 0.2432 0.3066 0.2552 -0.0077 0.0018 9.71 37.65 176.00
8 Argentina 0.118 0.000093 0.0587 0.00359 0.0083 0.0192 0.0564 0.2140 0.5139 -0.0030 -0.0036 8.03 12.33 39.00
9 Brazil 0.059 0.000040 0.0236 0.01344 0.0047 0.0145 0.0424 0.5792 0.2164 -0.0284 0.0162 7.58 7.37 120.25
10 Colombia 0.046 0.000062 0.0250 0.00728 0.0220 0.0606 0.3450 0.7050 0.3547 -0.0395 -0.0206 5.50 5.80 328.00
11 Peru 0.015 0.000000 0.0132 0.00406 0.0226 0.0584 0.2809 0.5323 0.2111 -0.0186 0.0000 8.20 18.60 1093.33
12 Bangladesh 0.065 0.000000 0.0025 0.00260 0.1042 0.1875 0.2361 0.1319 0.0417 -0.0177 0.0000 6.95 23.50 1429.00
13 China 0.035 0.000011 0.0241 0.00178 0.0042 0.0087 0.0321 0.1323 0.4184 -0.0086 0.0833 8.58 24.72 1215.12
14 India 0.042 0.000005 0.0094 0.00332 0.0119 0.0219 0.4048 0.2038 0.0358 -0.0014 -0.0009 6.89 59.64 857.03
15 Indonesia 0.036 0.000006 0.0107 0.00822 0.0257 0.0709 0.1486 0.5764 0.0619 -0.0380 -0.0009 3.28 13.70 4309.00
16 Iran 0.027 0.000054 0.0521 0.00052 0.0091 0.0121 0.0012 0.1093 0.2670 0.0001 0.0000 9.43 1758.78 719.75
17 Japan 0.033 0.000769 0.1408 0.00008 0.0132 0.0820 1.8862 0.6642 0.0171 -0.0007 0.0020 9.38 11.40 148.33
18 KoreaR 0.028 0.000117 0.0893 0.00061 0.0606 0.2222 0.7879 0.6546 0.0081 -0.0085 0.0046 11.55 5.90 716.00
19 Pakistan 0.030 0.000053 0.0092 0.00263 0.0188 0.0314 0.0201 0.0431 0.0628 0.0085 0.0000 5.58 30.67 2232.00
20 Philippines 0.039 0.000016 0.0123 0.00621 0.0400 0.1300 0.6600 0.3450 0.0419 0.0583 0.0101 7.10 6.15 874.60
21 SriLanka 0.032 0.000000 0.0039 0.00524 0.1061 0.1212 3.3939 0.3144 0.0665 0.0563 0.0000 7.20 149.95 620.00
22 Thailand 0.113 0.000054 0.0230 0.00943 0.0507 0.0663 0.0000 0.2751 0.0162 -0.0393 0.0048 7.15 23.00 448.80
23 Turkey 0.016 0.000018 0.0309 0.00171 0.0064 0.0231 2.3723 0.2593 0.1095 0.0003 0.0131 9.30 18.38 872.50
24 Finland 0.036 0.000200 0.2004 0.00600 0.0089 0.0355 0.0947 0.6870 0.0036 -0.0027 -0.0009 11.85 3.73 50.00
25 France 0.046 0.000426 0.1618 0.00179 0.0109 0.0380 0.3333 0.2684 0.2062 0.0043 -0.0235 10.16 15.81 173.57
26 GermanyFR 0.038 0.000340 0.1878 0.00058 0.0056 0.0476 0.1373 0.2914 0.1493 0.0035 -0.0166 8.21 185.88 125.33
27 Hungary 0.039 0.000283 0.1041 0.00226 0.0215 0.1720 0.9032 0.1812 0.1274 0.0098 -0.0104 9.95 40.15 33.67
28 Italy 0.035 0.000433 0.1173 0.00083 0.0100 0.0631 0.8472 0.2243 0.1621 0.0141 -0.0081 7.80 17.61 1280.73
29 Netherland 0.081 0.000403 0.2146 0.00013 0.0541 0.3514 0.4324 0.0811 0.2951 0.0020 -0.0272 8.15 119.33 10.30
30 Spain 0.041 0.000436 0.0899 0.0046 0.0119 0.0455 1.8832 0.3126 0.2034 0.0044 -0.0094 5.10 97.17 793.00
31 UK 0.068 0.000436 0.1579 0.00007 0.0122 0.0898 0.1959 0.0976 0.4566 0.0135 -0.0105 9.53 63.25 110.50
32 Australia 0.292 0.000468 0.2177 0.00637 0.0049 0.0051 0.2244 0.1379 0.5428 0.0003 0.0217 9.41 56.88 91.83
33 New 0.324 0.000294 0.1568 0.00000 0.0037 0.0967 0.8699 0.2731 0.4932 0.0115 -0.0232 9.17 15.63 4122.00
